price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
1995,400,0,1, no laundry, no pets, multi, no parking,9
2550,750,1,1, no laundry, no pets, multi, off-street,1
2299,550,0,1, on-site, both, multi, no parking,6
2495,900,1,1, on-site, cats, multi, no parking,2
3700,1050,2,1, on-site, both, multi, protected,7
4399,1349,1,1, in-unit, no pets, multi, no parking,9
4500,1500,4,2, on-site, both, multi, no parking,9
3975,925,1,1, in-unit, dogs, multi, protected,8
1290,240,1,1, no laundry, no pets, multi, no parking,1
5000,1250,2,2, in-unit, both, multi, protected,6
2040,840,2,1.5, in-unit, both, multi, no parking,5
6950,1700,5,2, in-unit, no pets, multi, off-street,5
1780,300,1,1, on-site, cats, multi, no parking,8
4550,1000,2,2, on-site, both, multi, no parking,7
4750,1235,2,2.5, in-unit, cats, multi, protected,6
2595,1000,2,1, no laundry, no pets, multi, no parking,8
3950,1600,3,1.5, on-site, no pets, single, protected,10
2900,980,2,1, no laundry, both, multi, no parking,9
3450,950,2,2, in-unit, cats, multi, no parking,9
2250,550,0,1, on-site, cats, multi, no parking,6
5000,1770,2,2.5, in-unit, both, multi, protected,9
2349,620,1,1, in-unit, cats, multi, no parking,8
2066,549,0,1, in-unit, both, multi, no parking,8
3200,1200,2,2, in-unit, both, multi, protected,9
3898,1098,1,1, on-site, no pets, multi, protected,7
4200,1400,3,1, in-unit, no pets, multi, no parking,7
6500,1321,2,2, in-unit, dogs, multi, protected,9
4648,1313,2,2, in-unit, no pets, multi, protected,9
4400,1167,2,1, no laundry, no pets, multi, no parking,9
7200,1274,2,2, in-unit, no pets, multi, protected,9
3500,814,1,1, in-unit, no pets, multi, protected,9
1800,500,0,1, no laundry, no pets, multi, no parking,8
4195,1200,2,1.5, in-unit, both, multi, no parking,5
2800,601,1,1, in-unit, both, multi, protected,8
4000,900,2,1, on-site, both, multi, no parking,9
3135,621,1,1, in-unit, both, multi, no parking,6
2511,647,1,1, in-unit, both, multi, valet,9
3500,781,1,1, in-unit, no pets, multi, protected,8
4595,1182,2,2, in-unit, both, multi, protected,9
3900,1163,2,2, in-unit, both, multi, protected,9
2800,650,2,1, no laundry, no pets, double, no parking,1
2895,491,1,1, in-unit, both, multi, no parking,5
3588,854,1,1, in-unit, no pets, multi, valet,9
3271,860,1,2, in-unit, both, multi, valet,9
1995,300,1,1, on-site, both, multi, no parking,9
2746,516,1,1, in-unit, both, multi, protected,9
2500,500,1,1, in-unit, no pets, multi, no parking,5
2400,440,1,1, on-site, cats, multi, no parking,7
1300,150,0,1, on-site, no pets, double, no parking,2
4700,1750,2,2, in-unit, no pets, multi, protected,9
2996,895,2,2, on-site, both, multi, protected,8
3800,873,1,1, in-unit, dogs, multi, valet,9
3725,855,1,1, no laundry, no pets, multi, no parking,9
3378,920,1,1, in-unit, no pets, multi, valet,9
5200,1191,2,2, in-unit, no pets, multi, valet,9
3395,1100,2,2, in-unit, both, multi, protected,9
2600,850,1,1, in-unit, no pets, multi, no parking,5
2650,700,1,1, on-site, no pets, multi, no parking,4
3200,1000,1,1, on-site, no pets, multi, no parking,7
2945,975,1,1, on-site, no pets, multi, protected,7
4075,1010,2,2, in-unit, both, multi, no parking,5
4500,1140,2,2, in-unit, no pets, multi, protected,9
3700,1100,2,1, on-site, cats, multi, no parking,8
2900,850,2,1, no laundry, no pets, multi, protected,6
2995,936,2,1, on-site, no pets, multi, no parking,9
4500,1100,3,1.5, in-unit, no pets, multi, no parking,5
3900,1200,3,2, on-site, no pets, multi, no parking,6
5250,1600,3,2, in-unit, no pets, multi, protected,8
1700,950,1,1, in-unit, no pets, multi, no parking,10
2650,1050,1,1, no laundry, no pets, multi, no parking,9
2000,700,0,1, on-site, no pets, multi, protected,7
4495,1005,2,1, on-site, both, multi, off-street,7
2745,950,1,2, in-unit, both, multi, protected,9
5500,1200,1,2, in-unit, both, multi, protected,9
2995,1200,2,1, no laundry, no pets, multi, no parking,8
3775,1000,1,1, on-site, no pets, multi, no parking,7
3100,950,1,1, on-site, no pets, multi, no parking,7
1995,400,0,1, on-site, no pets, multi, protected,9
3875,1200,3,1, in-unit, no pets, multi, no parking,9
3195,1200,2,1, no laundry, no pets, multi, no parking,8
5566,1022,2,2, in-unit, both, multi, no parking,5
4500,1000,1,1.5, on-site, dogs, multi, protected,7
2695,900,1,1, on-site, no pets, multi, protected,1
1875,450,0,1, on-site, no pets, multi, no parking,8
1800,440,0,1, on-site, no pets, multi, no parking,8
2050,700,1,1, on-site, no pets, multi, no parking,5
3000,725,1,1.5, on-site, no pets, multi, protected,8
3395,800,1,1, on-site, no pets, multi, no parking,7
2400,500,0,1, on-site, no pets, multi, protected,5
1799,550,0,1, on-site, no pets, multi, protected,8
2600,700,1,1, on-site, no pets, multi, no parking,1
3625,782,1,1, on-site, dogs, multi, protected,8
7900,1400,4,4, in-unit, no pets, multi, no parking,5
3295,1000,2,2, on-site, no pets, multi, no parking,7
1750,450,0,1, on-site, no pets, multi, no parking,8
7800,3000,2,2, in-unit, both, multi, no parking,7
8750,2490,2,3, in-unit, both, multi, valet,8
8750,2490,2,3, in-unit, both, multi, valet,8
3100,770,1,1, in-unit, no pets, multi, no parking,9
6800,2250,4,2, in-unit, both, single, protected,5
3500,1047,2,2, in-unit, both, multi, protected,6
4150,844,2,2, in-unit, no pets, multi, protected,9
1900,350,1,1, on-site, no pets, double, no parking,3
2595,1100,2,1, on-site, no pets, multi, no parking,10
3869,1286,2,2, in-unit, both, multi, no parking,9
7200,2100,1,2, no laundry, both, multi, no parking,9
2906,748,1,1, in-unit, both, multi, no parking,9
3480,1410,2,2, in-unit, no pets, multi, protected,9
2995,650,1,1, on-site, cats, multi, no parking,8
12500,2250,2,2.5, in-unit, both, multi, valet,9
3895,950,2,1, on-site, both, multi, no parking,1
2095,550,2,1, no laundry, both, multi, no parking,8
4100,1240,2,1, on-site, no pets, single, off-street,9
2600,500,1,1, on-site, no pets, multi, no parking,7
4500,1140,4,2, in-unit, both, multi, no parking,7
1600,425,0,1, on-site, no pets, multi, no parking,8
2395,562,0,1, on-site, no pets, multi, no parking,8
5500,1180,2,2, in-unit, no pets, multi, valet,9
5000,1180,2,2, in-unit, both, multi, valet,9
4500,1107,2,2, on-site, no pets, multi, valet,9
3300,916,1,1, in-unit, no pets, multi, protected,9
4250,1163,2,2, in-unit, no pets, multi, protected,9
5450,1240,2,2, in-unit, no pets, multi, protected,9
7800,1572,2,2, in-unit, no pets, multi, valet,9
5000,1340,2,2, in-unit, no pets, multi, protected,9
4500,969,2,2, in-unit, no pets, multi, no parking,7
2850,760,1,1, in-unit, both, multi, valet,9
4500,916,2,2, in-unit, no pets, multi, protected,7
2700,700,1,1, in-unit, no pets, multi, protected,9
5500,1403,2,2, in-unit, no pets, multi, valet,9
2400,665,1,1, in-unit, no pets, multi, no parking,9
1980,572,1,1, in-unit, both, multi, protected,10
2075,675,1,1, in-unit, both, multi, protected,10
4000,1265,2,2, in-unit, no pets, multi, valet,9
4150,1098,1,1.5, in-unit, both, multi, protected,9
4375,1479,2,2, in-unit, no pets, multi, protected,9
5100,1356,2,2, in-unit, no pets, multi, valet,9
2500,1000,1,1, on-site, cats, multi, no parking,8
3995,1900,3,2, in-unit, both, single, no parking,8
6000,2300,3,2, on-site, no pets, multi, protected,7
5495,1250,2,1, on-site, no pets, multi, off-street,7
2400,1050,1,1, in-unit, no pets, multi, no parking,5
4700,1850,4,2.5, on-site, no pets, multi, protected,1
2900,538,1,1, in-unit, both, multi, protected,9
4275,1517,2,2, in-unit, both, multi, valet,9
4500,1600,2,2, in-unit, both, multi, protected,9
3600,630,2,1, in-unit, no pets, multi, protected,9
3000,980,2,1, on-site, both, multi, no parking,9
3095,750,1,1, on-site, no pets, multi, protected,9
3650,1014,2,1, in-unit, cats, multi, no parking,9
3975,1100,2,2.5, in-unit, no pets, multi, no parking,9
4500,1850,4,2.5, on-site, no pets, multi, protected,1
2300,600,1,1, on-site, both, multi, protected,2
1965,595,1,1, in-unit, both, multi, no parking,8
3655,1000,2,2, in-unit, both, multi, protected,9
3200,650,1,1, in-unit, both, multi, no parking,6
5500,1327,3,2, in-unit, both, multi, protected,6
5995,1400,2,2, in-unit, cats, multi, protected,5
3260,1400,2,1.5, in-unit, no pets, multi, protected,9
4500,1536,3,2, no laundry, both, single, protected,3
2750,970,2,1, in-unit, cats, multi, protected,10
4000,1800,2,2.5, in-unit, cats, multi, protected,9
3750,1350,2,1, in-unit, no pets, single, protected,9
2800,717,1,1, no laundry, no pets, multi, no parking,1
1950,375,0,1, no laundry, no pets, multi, protected,2
1495,450,0,1, on-site, no pets, multi, no parking,8
3495,650,1,1, on-site, both, multi, protected,7
4500,1125,2,1, in-unit, both, single, protected,5
2395,700,1,1, on-site, no pets, multi, protected,5
3550,920,2,2, in-unit, both, multi, protected,9
3395,900,1,1, in-unit, dogs, multi, protected,8
2725,501,1,1, in-unit, both, multi, protected,6
4300,1000,3,1, in-unit, no pets, multi, no parking,8
4500,900,3,1, in-unit, no pets, single, off-street,7
3650,750,3,2, on-site, no pets, multi, no parking,1
3400,1391,3,2.5, in-unit, no pets, multi, protected,10
1749,260,0,1, on-site, no pets, multi, no parking,8
2995,700,2,1, on-site, no pets, multi, protected,1
3000,840,1,1, on-site, no pets, multi, no parking,7
2500,650,1,1, on-site, no pets, multi, protected,1
5875,1350,4,2, on-site, no pets, multi, protected,6
5295,745,2,2, in-unit, no pets, multi, no parking,9
4995,782,2,2, in-unit, no pets, multi, no parking,9
2499,650,2,1, on-site, no pets, double, no parking,2
4150,1100,1,1.5, no laundry, both, multi, no parking,7
2395,506,1,1, on-site, no pets, multi, no parking,8
2650,825,2,1, on-site, no pets, multi, no parking,1
3450,1000,3,1, on-site, cats, multi, off-street,8
2100,429,0,1, on-site, no pets, multi, no parking,8
2195,413,0,1, on-site, no pets, multi, no parking,5
1950,460,0,1, on-site, cats, multi, no parking,8
3900,681,2,2, in-unit, no pets, multi, no parking,8
1895,464,0,1, on-site, no pets, multi, no parking,8
1895,430,0,1, on-site, no pets, multi, no parking,8
2200,429,0,1, on-site, no pets, multi, no parking,8
4400,1450,3,2, in-unit, no pets, multi, no parking,5
3700,1000,2,1, in-unit, no pets, multi, no parking,7
2995,765,1,1, no laundry, cats, multi, protected,5
3900,1200,3,1, on-site, no pets, multi, no parking,8
4195,900,2,2, no laundry, no pets, multi, no parking,8
3100,650,1,1, on-site, no pets, multi, protected,8
4275,1000,2,1, in-unit, both, multi, protected,5
4275,1000,2,1, in-unit, both, multi, protected,5
2700,660,1,1, in-unit, no pets, multi, no parking,8
2950,850,2,1, on-site, both, multi, protected,9
3500,650,1,1, on-site, no pets, multi, protected,8
3500,837,1,1, in-unit, no pets, multi, valet,9
5600,1238,2,2, in-unit, no pets, multi, valet,9
3950,605,1,1, in-unit, no pets, multi, valet,9
2600,580,1,1, no laundry, cats, multi, no parking,2
3450,900,1,1, on-site, both, multi, protected,1
2750,550,1,1, on-site, no pets, multi, no parking,2
2280,524,1,1, in-unit, both, multi, no parking,8
2100,600,1,1, on-site, no pets, multi, no parking,2
2570,615,1,1, on-site, both, multi, off-street,5
2695,725,1,1, no laundry, no pets, multi, no parking,7
2500,550,1,1, on-site, dogs, multi, no parking,2
2895,800,1,1, on-site, both, multi, no parking,1
2800,600,1,1, in-unit, no pets, multi, no parking,9
3066,530,1,1, no laundry, no pets, multi, no parking,9
3995,800,1,1, on-site, both, multi, protected,7
3500,800,1,1, on-site, no pets, multi, off-street,7
4125,1095,2,2, in-unit, no pets, multi, protected,9
3300,605,1,1, in-unit, both, multi, valet,9
3500,690,1,1, in-unit, no pets, multi, protected,5
3300,970,1,1, in-unit, no pets, multi, protected,9
2675,700,1,1, no laundry, both, multi, no parking,9
3475,750,1,1, no laundry, both, multi, no parking,9
2800,800,1,1, in-unit, no pets, multi, protected,8
5595,1800,4,2, on-site, both, multi, no parking,5
2050,350,0,1, no laundry, no pets, multi, protected,9
1995,350,0,1, no laundry, no pets, multi, protected,9
7900,1500,2,2, in-unit, no pets, multi, protected,8
3395,900,1,1, in-unit, no pets, multi, protected,7
5000,1300,2,2, on-site, both, multi, protected,7
3395,900,1,1, in-unit, no pets, multi, protected,8
2550,610,1,1, in-unit, no pets, multi, protected,9
2095,800,1,1, no laundry, both, multi, no parking,9
3995,950,2,2, on-site, no pets, multi, protected,7
3995,950,2,1, on-site, no pets, multi, protected,7
3495,900,1,1, on-site, no pets, multi, off-street,7
3951,761,2,1, in-unit, both, multi, protected,9
4202,850,2,2, in-unit, both, multi, protected,9
2040,840,2,1.5, in-unit, both, multi, no parking,5
2750,725,1,1, on-site, both, multi, no parking,9
3750,901,2,2, in-unit, no pets, multi, protected,9
3495,622,1,1, in-unit, no pets, multi, protected,8
2075,500,0,1, on-site, both, multi, no parking,7
3450,1100,2,1, on-site, no pets, multi, no parking,1
2995,621,1,1, on-site, no pets, multi, protected,8
1500,550,1,1, in-unit, no pets, double, no parking,2
1795,300,1,1, on-site, both, double, no parking,3
3200,500,1,1, on-site, both, multi, protected,2
2390,800,1,1, no laundry, no pets, multi, no parking,1
3370,800,1,1, on-site, no pets, multi, protected,8
1895,500,1,1, in-unit, no pets, multi, no parking,10
1675,350,0,1, on-site, no pets, multi, no parking,2
4990,1655,3,2, in-unit, no pets, single, protected,9
4250,600,2,2, in-unit, no pets, multi, no parking,5
2733,763,1,1, in-unit, both, multi, protected,9
3044,751,1,1, in-unit, both, multi, no parking,9
2795,650,2,1, in-unit, no pets, multi, no parking,8
1895,500,1,1, no laundry, both, multi, no parking,8
3395,1000,2,1, in-unit, no pets, multi, no parking,8
2190,600,1,1, on-site, no pets, multi, no parking,5
3500,1400,3,2, in-unit, cats, multi, protected,3
3200,1215,2,2, no laundry, both, multi, protected,9
3995,1650,3,2, on-site, both, multi, protected,3
4300,1300,3,2, in-unit, both, multi, no parking,9
3595,916,2,1, no laundry, cats, multi, no parking,5
2550,660,1,1, in-unit, no pets, multi, no parking,8
2800,655,1,1, in-unit, no pets, multi, no parking,9
2850,800,1,1, in-unit, cats, double, no parking,4
10500,2179,3,3, in-unit, no pets, multi, protected,8
7995,3200,4,3, in-unit, both, single, protected,4
3104,650,1,1, on-site, cats, multi, off-street,8
2595,740,1,1, on-site, no pets, multi, no parking,8
4100,1050,2,1, on-site, both, multi, protected,5
5200,1450,3,2, on-site, both, multi, protected,5
6500,1450,4,2, on-site, no pets, multi, protected,7
3700,1100,2,1, no laundry, no pets, single, protected,2
2995,700,1,1, on-site, no pets, multi, protected,7
1850,500,1,1, on-site, both, multi, protected,8
3195,900,2,1, on-site, both, multi, no parking,2
2195,500,2,1, on-site, no pets, multi, no parking,8
1595,400,0,1, on-site, no pets, multi, no parking,8
4500,1246,2,2, in-unit, no pets, multi, protected,6
5995,1800,3,2, in-unit, both, multi, no parking,5
3750,1500,3,2, in-unit, no pets, multi, no parking,1
5195,1622,4,1.5, in-unit, both, multi, no parking,5
6250,1860,3,2, in-unit, both, multi, protected,7
2100,388,0,1, no laundry, cats, multi, no parking,6
2199,750,1,1, in-unit, no pets, multi, protected,8
1899,550,0,1, on-site, no pets, multi, protected,8
4000,1000,2,1, in-unit, both, multi, no parking,5
2199,575,1,1, on-site, both, multi, no parking,2
2750,700,1,1, no laundry, both, multi, off-street,5
2600,860,2,1, on-site, dogs, multi, off-street,5
6050,2300,4,3, in-unit, both, single, protected,1
2700,717,1,1, no laundry, no pets, multi, no parking,1
2698,800,1,1, on-site, no pets, multi, protected,1
2395,500,0,1, on-site, no pets, multi, protected,1
3995,900,2,2, in-unit, both, multi, protected,7
3495,700,1,1, in-unit, both, multi, protected,7
3500,1011,2,2, in-unit, both, multi, protected,9
3595,830,2,1, on-site, no pets, multi, protected,8
3000,830,4,1, in-unit, both, multi, no parking,8
1600,400,0,1, on-site, no pets, multi, no parking,8
5750,1960,4,2, on-site, no pets, single, protected,4
3895,1133,3,2, in-unit, both, multi, protected,9
4200,1200,1,1, in-unit, both, multi, protected,8
1675,224,0,1, on-site, both, multi, no parking,8
3100,1072,2,2, in-unit, no pets, multi, protected,9
2760,449,0,1, no laundry, both, multi, no parking,9
3600,1255,1,1.5, in-unit, no pets, multi, protected,9
3400,1124,1,1.5, in-unit, no pets, multi, protected,9
5500,2900,4,2, no laundry, cats, single, protected,2
2900,600,1,1, on-site, both, multi, no parking,5
1674,656,1,1, on-site, both, multi, no parking,9
4350,1310,2,1, on-site, no pets, multi, no parking,5
1850,375,0,1, on-site, no pets, multi, no parking,7
2000,525,0,1, on-site, no pets, multi, protected,6
5700,1500,3,2, in-unit, both, multi, protected,9
4250,769,1,1, in-unit, both, multi, protected,8
5500,1760,3,1, in-unit, both, multi, no parking,5
2445,600,1,1, no laundry, no pets, multi, no parking,7
2600,850,1,1, no laundry, no pets, multi, no parking,7
6895,1530,2,2, in-unit, dogs, multi, protected,7
2200,450,1,1, on-site, no pets, multi, off-street,8
2326,625,1,1, on-site, both, multi, protected,7
1800,440,0,1, no laundry, no pets, multi, no parking,8
1800,440,0,1, on-site, no pets, multi, no parking,8
4500,1500,2,1, in-unit, both, single, off-street,9
4250,1600,3,1, in-unit, no pets, single, protected,2
1890,550,1,1, no laundry, no pets, multi, no parking,7
4066,768,1,1, in-unit, both, multi, protected,9
2956,644,1,1, in-unit, both, multi, protected,2
2999,750,2,1, on-site, no pets, multi, no parking,2
4400,1900,2,2, in-unit, no pets, single, protected,1
3700,1100,3,1, no laundry, no pets, multi, no parking,8
4495,1200,2,2, in-unit, both, multi, no parking,1
3650,1000,2,2, on-site, no pets, multi, protected,7
4750,1050,3,2, in-unit, both, multi, protected,6
3950,1230,3,2, no laundry, no pets, multi, no parking,7
2450,523,1,1, in-unit, no pets, multi, protected,8
2695,800,1,1, on-site, no pets, multi, off-street,9
4068,1113,2,2, in-unit, both, multi, no parking,9
3400,945,2,2, on-site, no pets, multi, protected,2
3500,974,2,2, on-site, no pets, multi, protected,2
2000,400,0,1, on-site, no pets, multi, no parking,8
2750,1016,1,1.5, in-unit, both, multi, protected,9
2899,575,0,1, in-unit, both, multi, protected,5
1595,420,0,1, no laundry, no pets, multi, no parking,8
4500,1500,2,1, on-site, both, multi, protected,6
3500,1200,2,1, on-site, no pets, multi, protected,9
1795,500,2,1, no laundry, no pets, multi, no parking,1
4000,1050,2,2, in-unit, no pets, multi, no parking,9
3200,920,1,1.5, in-unit, no pets, multi, protected,9
1929,750,1,1, on-site, no pets, multi, protected,8
6500,1805,2,2.5, in-unit, both, multi, valet,8
6500,1805,2,2.5, in-unit, both, multi, protected,8
5900,1450,3,2, in-unit, no pets, multi, off-street,5
4600,1250,3,2, in-unit, both, multi, no parking,9
3000,845,1,1, on-site, no pets, multi, protected,6
6995,2500,2,2, in-unit, no pets, multi, protected,5
2860,1093,2,2, no laundry, both, multi, no parking,3
4750,979,3,2, in-unit, both, multi, protected,9
3020,702,1,1, in-unit, both, multi, protected,9
6500,1800,5,1.5, in-unit, no pets, multi, no parking,5
5595,1700,3,2, in-unit, dogs, multi, protected,5
9800,1670,2,2.5, in-unit, no pets, multi, valet,9
1600,350,0,1, no laundry, no pets, multi, no parking,8
2483,433,0,1, in-unit, both, multi, protected,9
1795,450,0,1, on-site, both, multi, no parking,8
1395,335,0,1, no laundry, both, multi, no parking,8
2195,590,0,1, no laundry, both, multi, no parking,2
1650,300,0,1, on-site, no pets, double, no parking,2
2500,600,0,1, no laundry, no pets, multi, no parking,5
1600,300,0,1, no laundry, no pets, single, no parking,10
1695,500,0,1, on-site, no pets, multi, no parking,8
1995,456,0,1, on-site, no pets, multi, protected,9
4800,955,2,2, in-unit, no pets, multi, protected,7
3900,1532,2,2, in-unit, no pets, multi, protected,8
4500,1444,3,2, in-unit, no pets, multi, no parking,7
5995,1700,3,2, in-unit, both, multi, no parking,1
5850,1300,1,1, in-unit, no pets, multi, protected,8
1600,400,0,1, on-site, no pets, multi, no parking,8
4488,977,2,2, in-unit, both, multi, protected,8
6990,1700,4,2, in-unit, no pets, multi, no parking,9
3700,1017,2,2, in-unit, both, multi, protected,6
2300,750,2,2, in-unit, no pets, multi, no parking,10
3000,965,1,1.5, in-unit, no pets, multi, protected,9
3107,956,1,1, in-unit, both, multi, protected,9
3728,1015,2,2, in-unit, both, multi, no parking,9
5950,2100,3,2, in-unit, no pets, multi, no parking,9
4200,1150,3,2, on-site, both, multi, no parking,5
4075,950,2,1, in-unit, no pets, multi, no parking,5
3195,750,1,1, on-site, no pets, multi, no parking,9
1625,500,0,1, on-site, cats, multi, no parking,10
1795,450,0,1, on-site, both, multi, no parking,8
4595,900,2,2, on-site, both, multi, protected,9
3595,1075,2,1, on-site, cats, multi, no parking,5
2950,850,1,2, in-unit, no pets, multi, protected,9
2799,1000,2,2, on-site, no pets, multi, protected,8
2800,950,1,1, in-unit, no pets, multi, protected,9
4145,996,2,2, in-unit, both, multi, protected,8
4495,1400,3,2, on-site, both, multi, off-street,2
4595,1220,2,2, in-unit, no pets, multi, protected,9
2995,784,1,1, in-unit, no pets, multi, protected,9
2300,600,1,1, no laundry, cats, multi, protected,5
2395,600,1,1, no laundry, cats, multi, protected,5
3250,900,1,1, on-site, no pets, multi, protected,7
2495,483,2,1, on-site, dogs, multi, no parking,8
3995,1100,1,1, on-site, both, multi, protected,8
2495,573,1,1, no laundry, cats, multi, no parking,3
3395,1231,2,2, in-unit, dogs, multi, protected,9
2750,1000,2,2, in-unit, dogs, multi, protected,9
2786,425,1,1, no laundry, no pets, multi, no parking,9
2750,700,0,1, on-site, no pets, multi, protected,7
3416,885,2,2, in-unit, both, multi, protected,9
4600,1750,3,2.5, no laundry, no pets, multi, protected,6
3550,900,1,1, in-unit, both, multi, no parking,9
2850,690,1,1, on-site, cats, multi, no parking,5
3850,1500,3,1.5, in-unit, both, multi, no parking,9
3695,911,2,2, in-unit, both, multi, protected,8
3575,1000,2,1, on-site, no pets, multi, no parking,8
2595,1000,1,1, no laundry, no pets, multi, protected,2
6300,1886,5,2, in-unit, both, multi, no parking,6
2950,980,2,2, in-unit, both, multi, no parking,3
2895,800,1,1, no laundry, cats, multi, no parking,7
3995,1000,3,1, no laundry, both, multi, no parking,3
4876,1285,2,2, in-unit, both, multi, protected,9
3200,770,1,1, in-unit, no pets, multi, protected,8
3450,1100,2,1, on-site, no pets, multi, no parking,7
12000,3300,4,4, in-unit, both, multi, protected,9
3896,728,2,1, no laundry, no pets, multi, no parking,9
5600,1800,2,2, in-unit, cats, multi, protected,8
4195,1120,2,2, in-unit, both, multi, protected,7
3700,1201,2,2, in-unit, no pets, multi, protected,9
2295,600,1,1, on-site, no pets, multi, no parking,6
3400,668,1,1, in-unit, both, multi, no parking,8
4350,950,2,1, in-unit, no pets, multi, protected,8
6500,1583,3,2.5, in-unit, both, multi, valet,8
1700,425,0,1, no laundry, no pets, multi, no parking,8
3799,861,1,1, in-unit, both, multi, protected,9
3198,925,2,2, on-site, both, multi, protected,7
2906,748,1,1, in-unit, both, multi, no parking,9
2801,627,1,1, in-unit, both, multi, no parking,9
1500,390,0,1, on-site, both, multi, no parking,8
2800,653,1,1, in-unit, no pets, multi, protected,9
2335,700,1,1, in-unit, both, multi, protected,9
3395,684,1,1, in-unit, no pets, multi, protected,8
2595,900,2,1, on-site, no pets, multi, no parking,9
3995,1190,2,2, in-unit, no pets, multi, protected,9
4495,1200,2,2, in-unit, no pets, multi, protected,9
2950,800,2,2, no laundry, cats, multi, protected,9
7200,2300,5,2.5, in-unit, no pets, multi, no parking,7
5150,1500,2,2, on-site, no pets, multi, valet,8
3200,1200,2,1, on-site, no pets, multi, protected,1
2995,1100,2,1, no laundry, no pets, multi, no parking,7
5995,1590,4,2, on-site, both, multi, no parking,9
1250,200,1,1, on-site, no pets, multi, no parking,2
2420,729,1,1, no laundry, cats, single, no parking,3
3250,1000,2,1, on-site, no pets, multi, no parking,8
3734,1064,2,2, in-unit, both, multi, protected,9
2770,690,1,1, in-unit, both, multi, protected,9
2095,750,0,1, in-unit, no pets, multi, no parking,9
4900,1700,5,2, in-unit, no pets, multi, no parking,7
2795,650,1,1, on-site, no pets, multi, protected,7
2550,750,1,1, on-site, no pets, multi, protected,7
3490,750,2,1, in-unit, both, multi, protected,8
2549,875,1,1, in-unit, both, multi, no parking,8
2495,595,1,1, in-unit, both, multi, no parking,8
2490,691,1,1, no laundry, cats, single, no parking,3
2499,679,1,1, on-site, both, multi, no parking,6
6495,1645,3,2.5, in-unit, both, multi, no parking,7
4500,1350,2,2, in-unit, no pets, multi, protected,9
3000,765,1,1, no laundry, no pets, multi, no parking,6
4265,1365,3,2.5, in-unit, both, multi, no parking,9
2195,500,1,1, no laundry, no pets, multi, no parking,9
3000,650,1,1, on-site, both, multi, no parking,5
3549,790,1,1, in-unit, both, multi, no parking,9
3595,869,1,1, in-unit, both, multi, valet,9
5250,1800,4,1, in-unit, both, multi, no parking,6
2100,500,0,1, on-site, both, multi, no parking,5
1699,550,1,1, no laundry, both, multi, no parking,6
4700,1750,2,2, in-unit, no pets, multi, protected,9
4700,1750,2,2, in-unit, no pets, multi, protected,9
2000,500,0,1, on-site, no pets, multi, off-street,4
2700,600,1,1, on-site, cats, multi, protected,1
4099,1300,3,1, no laundry, both, multi, no parking,5
3595,1200,2,1, on-site, cats, multi, no parking,9
4695,1700,3,2, in-unit, no pets, multi, no parking,7
1950,450,1,1, no laundry, no pets, single, off-street,3
3600,1100,3,1, in-unit, no pets, multi, no parking,8
3625,1032,2,2, in-unit, no pets, multi, protected,8
